SampleID	PrimerPairID	BarcodeID	ProjectID
Castilleja_lasiorhyncha_01027	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima540	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_rubicundula_var_rubicundula_01035	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima541	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_hispida_var_acuta_01038	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima542	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_zempoaltepetiensis_01175	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima543	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_sphaerostigma_04137	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima544	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_attenuata_06004	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima545	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_organorum_06021	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima546	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_hololeuca_06022	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima547	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_kaibabensis_06030	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima548	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_ecuadorensis_06036	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima549	Tank_D/Castilleja_48_single_plex_Jun18
