Barcode	5_8S	AT1G04200	AT1G13040	AT1G17760	AT1G26640	AT1G43860	AT1G80150_A	AT1_320F_C1261R	AT2G17670	AT2G28190_A	AT2G29210_A	AT2G29210_B_1	AT2G29210_B_2	AT2G38020_a_A	AT2G38020_a_C	AT2G38020_b	AT3G14730	AT3G16890	AT4G30825	AT5G18475	AT5_C875F_1890R	Cas_10778_F_Cas_11525_R	Cas_111970_F_Cas_112789_R	Cas_112854_F_Cas_113746_R	Cas_115094_F_Cas_116443_R	Cas_11589_F_Cas_12461_R	Cas_120561_F_Cas_121371_R	Cas_122476_F_Cas_123331_R	Cas_123306_F_Cas_124104_R	Cas_124082_F_Cas_124968_R	Cas_125001_F_Cas_125859_R	Cas_126110_F_Cas_126868_R	Cas_126859_F_Cas_127713_R	Cas_127891_F_Cas_128420_R	Cas_129331_F_Cas_130126_R	Cas_130168_F_Cas_130760_R	Cas_13394_F_Cas_14062_R	Cas_14073_F_Cas_14724_R	Cas_17609_F_Cas_18412_R	Cas_19198_F_Cas_19976_R	Cas_20851_F_Cas_21307_R	Cas_21290_F_Cas_22036_R	Cas_24256_F_Cas_25037_R	Cas_29425_F_Cas_30291_R	Cas_30274_F_Cas_31061_R	Cas_3185_F_Cas_3987_R	Cas_32159_F_Cas_32745_R	Cas_33546_F_Cas_34499_R	Cas_36699_F_Cas_37444_R	Cas_4537_F_Cas_5319_R	Cas_46472_F_Cas_47162_R	Cas_47139_F_Cas_47689_R	Cas_48611_F_Cas_49520_R	Cas_50548_F_Cas_51414_R	Cas_52327_F_Cas_52920_R	Cas_52901_F_Cas_53720_R	Cas_5508_F_Cas_6230_R	Cas_59866_F_Cas_60624_R	Cas_61880_F_Cas_62831_R	Cas_62840_F_Cas_63772_R	Cas_63749_F_Cas_64669_R	Cas_65707_F_Cas_66634_R	Cas_67504_F_Cas_68343_R	Cas_69456_F_Cas_70174_R	Cas_71554_F_Cas_72431_R	Cas_72399_F_Cas_73245_R	Cas_73947_F_Cas_74498_R	Cas_77140_F_Cas_78034_R	Cas_85769_F_Cas_86417_R	ETSB_18S_IGS	ETS_F_R	ITS1	ITS2	ITS_F_R	MIX_5	MIX_6	MIX_7	PIS_1	PIS_3	PIS_4	PPR_11_1020F_1545R	PPR_123_505F_1031R	PPR_24_188F_565R	PPR_24_450F_1008R	PPR_47_26F_811R	PPR_62_79F_650R	PPR_70_665F_1055R	PPR_97_358F_965R	Tha_ITS1F_ITS2R	W11F_W12R	W12F_W13R	matK_110F_715R	matK_521F_1103R	ndhF_1022F_1435R	ndhF_1410F_2054R	ndhF_516F_1054R	ndhF_57F_557R	rbcL_106F_655R	rbcL_635F_1395R	rpl32_79F_679R	rpoC2_1489F_2080R	rpoC2_524R_978R	rpoC2_91F_623R	rpoC2_965F_1520R	thal_13	thal_15	thal_44	thal_45	thal_46	thal_47	thal_50	thal_51	thal_52	thal_53	thal_54	thal_55	thal_57	thal_58	thal_59	thal_61	thal_62	thal_64	thal_65	thal_68	thal_69	thal_70	thal_72	thal_74	thal_75	thal_78	thal_80	thal_81	trnLF_1363F_1786R	trnLF_821F_1383R	trnT_77F_628R	v1v3set2	v1v3set3	v1v3set4	v4set1	v4set2	waxy_26F_446R	waxy_309F_909R	None
Echo199	0	1	0	3	4	0	1	1	1	1	0	4	0	2	1	3	0	3	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	36	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	58	5	22	19	24	0	10	26	4	25	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	7	14	0	0	0	0	0	4	0	325
Echo200	0	1	2	4	5	2	2	3	2	3	0	3	7	1	1	3	2	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	3110	0	0	593	0	0	0	0	0	0	0	0	2	0	0	0	6	0	2	0	0	12	91	15239	3175	5348	927	7042	377	1311	5521	25	2226	1743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7958	1094	2502	0	0	0	0	0	5	0	7733
Echo201	0	0	1	0	0	0	0	5	0	0	0	0	1	1	0	1	0	3	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4160	0	0	358	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	59	8385	1887	3224	478	5779	305	305	4664	12	1646	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4966	673	47	0	0	0	0	0	8	0	6090
Echo202	0	0	3	3	4	1	2	1	3	2	0	6	2	7	3	3	7	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1837	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	8	52	12552	2380	3321	686	5539	192	896	4173	13	1257	961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5494	675	1443	0	0	0	0	0	2	0	6270
Echo203	0	0	2	2	4	0	2	0	4	1	0	7	2	1	6	0	2	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	1081	0	0	35	0	0	0	0	0	0	0	0	1	0	0	0	4	0	2	0	1	0	2	2458	23	110	79	723	5	36	440	9	568	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1070	127	66	0	0	0	0	0	3	0	2823
Echo204	0	0	1	3	2	0	0	0	0	2	0	3	2	3	3	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	533	0	0	19	0	0	0	0	0	0	0	0	15	0	0	0	17	0	0	0	0	4	11	4961	767	1143	119	1363	85	36	1604	0	325	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1327	195	498	0	0	0	0	0	0	0	4297
Echo205	0	1	0	1	3	0	2	0	1	2	0	2	2	6	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	428	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	6	5373	779	1198	82	1519	68	212	1213	4	699	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1989	133	481	0	0	0	0	0	7	0	4193
Echo206	0	2	2	6	6	5	2	0	4	7	0	10	1	6	4	3	7	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	376	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	10	5335	977	1090	69	1949	77	324	1595	1	686	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2082	166	426	0	0	0	0	0	24	0	4668
Echo207	0	0	2	3	2	3	0	0	1	1	0	3	2	6	5	0	7	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	56	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	3	132	6	30	35	41	2	7	34	5	50	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	12	26	0	0	0	0	0	3	0	251
Echo208	0	1	0	1	1	1	3	0	2	0	1	3	0	4	2	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1403	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	3	4890	565	889	74	1211	51	144	1209	0	301	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2045	155	10	0	0	0	0	0	0	0	3555
Echo209	0	0	0	4	3	0	1	0	4	2	0	8	1	1	4	1	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2416	0	0	147	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	7	61	9032	1267	2302	478	4835	204	436	2667	23	1257	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4780	465	54	0	0	0	0	0	7	0	5348
Echo210	0	0	1	8	1	0	4	0	0	1	0	3	0	3	3	0	1	4	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	792	0	1	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	4	5223	826	655	107	1798	82	178	1715	9	408	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1447	257	346	0	0	0	0	0	0	0	4080
Echo211	0	0	7	4	3	2	2	0	0	0	1	5	3	3	4	0	3	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2796	0	0	33	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	1	7	5122	272	58	97	91	3	20	146	11	1610	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	20	51	0	0	0	0	0	0	0	2969
Echo212	0	1	0	2	4	1	0	1	1	3	0	5	1	0	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1320	0	0	72	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	4	20	7698	1428	1375	126	2523	124	409	1838	8	1108	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3526	350	677	0	0	0	0	0	5	0	4767
Echo213	0	2	1	1	1	0	1	0	1	0	1	4	1	0	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1368	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	15	7676	1074	1383	134	2415	159	498	1921	1	1253	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3822	459	887	0	0	0	0	0	1	0	4789
Echo214	0	1	0	1	1	1	0	0	2	1	0	5	1	3	0	0	3	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	448	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	6	4840	503	926	54	1246	104	223	1199	3	535	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2053	176	412	0	0	0	0	0	1	0	3714
Echo215	0	0	0	2	0	2	0	0	1	0	0	1	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	5255	0	0	782	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	14	63	16276	2104	3202	930	5980	685	197	5442	12	3402	1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10802	1249	1983	0	0	0	0	0	4	0	6527
Echo216	0	0	0	1	0	0	0	0	1	2	0	1	2	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	682	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	15	9836	1563	2300	217	3787	178	606	2708	15	1176	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5515	620	1244	0	0	0	0	0	1	0	5459
Echo217	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2950	0	0	59	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	9	5601	858	1056	136	2219	155	182	1827	1	638	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2529	324	6	0	0	0	0	0	0	0	3530
Echo218	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1274	398	569	56	646	11	36	621	1	88	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	85	277	0	0	0	0	0	0	0	3721
Echo219	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	5	2897	203	413	52	414	8	25	622	2	90	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463	52	261	0	0	0	0	0	1	0	3935
Echo220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1244	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3045	174	293	28	597	22	20	489	0	150	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	77	151	0	0	0	0	0	0	0	2506
Echo221	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1383	147	221	13	347	12	38	114	0	39	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457	41	180	0	0	0	0	0	1	0	2617
Echo222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2369	261	252	19	565	29	50	559	1	98	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	86	200	0	0	0	0	0	2	0	2982
Echo223	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	98	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1560	209	196	13	478	20	25	375	1	55	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	62	121	0	0	0	0	0	0	0	2651
Echo224	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	710	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	3453	310	1391	98	1975	38	231	1297	1	171	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1228	262	489	0	0	0	0	0	1	0	3872
Echo225	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	445	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2027	337	282	51	938	13	92	1014	0	112	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	112	304	0	0	0	0	0	0	0	3267
Echo226	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	413	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	10	2764	563	642	58	1105	22	90	372	0	129	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	121	525	0	0	0	0	0	0	0	3795
Echo227	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	85	3	18	23	21	1	5	13	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	5	13	0	0	0	0	0	0	0	1000
Echo228	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5446	825	822	77	1452	62	135	671	0	276	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019	251	587	0	0	0	0	0	0	0	3687
Echo229	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	1	4	4	6	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	0	0	0	0	0	0	0	192
Echo230	0	0	2	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	5	3	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	49
Echo231	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	24	6	13	11	23	1	4	8	2	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	6	0	0	0	0	0	1	0	197
Echo232	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	13	2	5	3	6	0	2	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	6	0	0	0	0	0	0	0	54
Echo233	0	0	0	0	0	0	1	0	0	1	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	43	6	26	22	32	0	4	13	2	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	7	15	0	0	0	0	0	1	0	84
Echo234	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	4	8	27	19	0	5	10	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	14	0	0	0	0	0	0	0	451
Echo235	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	34	2	24	24	27	0	4	16	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	10	0	0	0	0	0	0	0	83
Echo236	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	2	2	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	2	0	0	0	0	0	0	0	44
Echo237	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	4	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	45
Echo238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	3	8	7	6	1	1	4	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	5	0	0	0	0	0	0	0	80
Echo239	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	32	6	18	16	29	1	5	15	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	4	16	0	0	0	0	0	1	0	69
